level_0	ad	alszik	bocsát	bír	bírál	dönt	dől	enged	esik	felejt	fogad	foglal	fogy	fér	hagy	hangzik	határoz	helyez	helyezkedik	hisz	hoz	indul	indít	intéz	ismer	jut	jár	játszik	jön	kap	kel	kerül	kezd	képzel	kér	készít	készül	költ	köszön	követ	küld	lop	lát	látogat	marad	megy	mesél	mond	múlik	nevez	nyer	olvas	pusztul	pusztít	rabol	rendel	ront	szenved	számol	talál	tart	telik	temet	terjed	tesz	tér	tölt	tűnik	utasít	utazik	vesz	veszik	veszít	visel	visz	von	választ	válik	vállal	vár	végez	árul	ér	ítél	üt
ad	100	81	0	0	26	0	14	6	53	81	5	31	81	14	82	14	0	4	0	64	83	82	82	70	26	82	14	71	80	70	0	0	2	0	81	21	65	0	25	2	67	2	81	70	72	81	0	81	81	49	0	80	14	0	4	2	83	2	0	82	34	70	22	12	74	0	71	31	0	81	80	48	1	70	77	69	66	65	83	69	1	71	2	0	50
alszik	81	100	0	7	40	0	26	20	65	100	20	48	100	26	99	27	0	5	0	83	72	99	99	51	40	99	27	88	99	51	0	0	17	8	100	37	83	0	8	15	86	15	100	51	82	100	9	100	74	36	13	99	27	0	17	15	72	16	8	67	17	89	36	25	57	0	54	27	0	94	70	35	13	51	96	78	63	65	72	77	10	54	15	0	62
bocsát	0	0	100	0	0	0	1	0	12	0	0	0	0	1	0	0	0	64	100	0	0	0	0	0	0	0	0	0	0	0	100	1	0	0	0	0	13	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	100	0	0	0	0	0	0	2	2	2	0	3	0	0	0	100	12
bír	0	7	0	100	31	43	38	56	5	7	58	29	7	38	7	39	43	8	0	24	0	7	7	0	31	7	39	15	8	0	0	61	74	94	7	37	7	0	0	54	9	54	7	0	5	7	96	7	2	0	91	8	39	65	50	52	0	61	97	0	0	9	30	41	0	0	0	6	0	6	0	0	90	0	8	4	0	1	0	4	96	0	54	0	5
bírál	26	40	0	31	100	0	86	75	38	40	72	92	40	86	39	87	0	28	0	31	14	39	39	4	100	39	87	29	41	4	0	1	56	37	40	93	42	0	1	73	54	73	40	4	32	40	34	40	16	15	39	39	87	2	77	75	14	70	34	11	1	51	94	85	7	0	5	32	0	34	12	14	40	4	44	32	18	19	14	30	32	5	73	0	41
dönt	0	0	0	43	0	100	0	1	0	0	2	0	0	0	0	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	81	17	38	0	0	0	0	0	1	0	1	0	0	0	0	41	0	0	0	34	0	0	78	0	1	0	5	40	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	43	0	1	0	0
dől	14	26	1	38	86	0	100	79	26	26	76	78	26	100	25	99	0	37	1	18	3	25	25	0	86	25	99	15	27	0	1	4	63	44	26	89	31	1	0	84	40	84	26	0	19	26	40	26	4	8	46	25	99	6	88	86	3	77	41	1	0	37	90	97	0	0	0	25	1	20	1	7	44	0	30	19	6	8	3	17	36	0	84	1	29
enged	6	20	0	56	75	1	79	100	18	20	97	69	20	79	19	80	1	26	0	34	2	19	19	0	75	19	80	24	21	0	0	17	81	60	20	80	22	0	0	93	32	93	20	0	12	20	58	20	4	3	64	21	80	21	91	91	2	95	59	2	0	30	71	82	1	0	0	17	0	14	2	3	62	0	23	12	3	4	2	10	54	0	93	0	20
esik	53	65	12	5	38	0	26	18	100	65	17	46	65	26	64	26	0	19	12	51	44	64	64	23	38	64	26	53	65	23	12	0	14	5	65	36	79	12	13	13	69	13	65	23	81	65	6	65	44	24	8	64	26	0	16	14	44	13	6	39	4	71	34	24	29	28	26	25	12	60	43	23	8	23	67	83	66	67	44	82	7	26	13	12	97
felejt	81	100	0	7	40	0	26	20	65	100	20	48	100	26	99	27	0	5	0	83	72	99	99	51	40	99	27	88	99	51	0	0	17	8	100	37	83	0	8	15	86	15	100	51	82	100	9	100	74	36	13	99	27	0	17	15	72	16	8	67	17	89	36	25	57	0	54	27	0	94	70	35	13	51	96	78	63	65	72	77	10	54	15	0	62
fogad	5	20	0	58	72	2	76	97	17	20	100	68	20	76	19	77	2	25	0	37	2	19	19	0	72	19	77	25	21	0	0	19	84	62	20	79	22	0	0	92	31	92	20	0	12	20	60	20	4	3	67	21	77	23	88	90	2	96	61	2	0	29	68	79	1	0	0	15	0	15	2	3	64	0	23	12	3	4	2	10	56	0	92	0	19
foglal	31	48	0	29	92	0	78	69	46	48	68	100	48	78	47	79	0	27	0	37	20	47	47	5	92	47	79	37	49	5	0	1	54	32	48	89	50	0	1	65	62	65	48	5	40	48	32	48	22	18	37	47	79	1	69	67	20	64	31	17	1	59	88	77	8	0	6	34	0	42	18	17	37	5	52	40	23	25	20	38	32	6	65	0	49
fogy	81	100	0	7	40	0	26	20	65	100	20	48	100	26	99	27	0	5	0	83	72	99	99	51	40	99	27	88	99	51	0	0	17	8	100	37	83	0	8	15	86	15	100	51	82	100	9	100	74	36	13	99	27	0	17	15	72	16	8	67	17	89	36	25	57	0	54	27	0	94	70	35	13	51	96	78	63	65	72	77	10	54	15	0	62
fér	14	26	1	38	86	0	100	79	26	26	76	78	26	100	25	99	0	37	1	18	3	25	25	0	86	25	99	15	27	0	1	4	63	44	26	89	31	1	0	84	40	84	26	0	19	26	40	26	4	8	46	25	99	6	88	86	3	77	41	1	0	37	90	97	0	0	0	25	1	20	1	7	44	0	30	19	6	8	3	17	36	0	84	1	29
hagy	82	99	0	7	39	0	25	19	64	99	19	47	99	25	100	26	0	5	0	82	73	100	100	52	39	100	26	89	98	52	0	0	16	8	99	36	82	0	8	14	85	14	99	52	83	99	9	99	75	36	12	98	26	0	16	14	73	15	8	68	17	88	35	24	58	0	55	27	0	95	71	35	12	52	95	79	64	66	73	78	10	55	14	0	61
hangzik	14	27	0	39	87	0	99	80	26	27	77	79	27	99	26	100	0	36	0	19	3	26	26	0	87	26	100	16	28	0	0	4	64	45	27	90	30	0	0	85	41	85	27	0	19	27	41	27	5	8	47	26	100	6	89	87	3	78	42	1	0	38	91	98	0	0	0	25	0	21	1	7	45	0	31	19	6	8	3	17	37	0	85	0	29
határoz	0	0	0	43	0	100	0	1	0	0	2	0	0	0	0	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	81	17	38	0	0	0	0	0	1	0	1	0	0	0	0	41	0	0	0	34	0	0	78	0	1	0	5	40	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	43	0	1	0	0
helyez	4	5	64	8	28	0	37	26	19	5	25	27	5	37	5	36	0	100	64	2	0	5	5	0	28	5	36	1	5	0	64	3	22	10	5	29	20	64	0	30	14	30	5	0	4	5	9	5	0	0	10	4	36	2	33	32	0	25	10	0	0	10	33	36	0	53	0	9	64	2	0	0	9	0	8	6	2	3	0	5	7	0	30	64	22
helyezkedik	0	0	100	0	0	0	1	0	12	0	0	0	0	1	0	0	0	64	100	0	0	0	0	0	0	0	0	0	0	0	100	1	0	0	0	0	13	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	100	0	0	0	0	0	0	2	2	2	0	3	0	0	0	100	12
hisz	64	83	0	24	31	1	18	34	51	83	37	37	83	18	82	19	1	2	0	100	62	82	82	44	31	82	19	88	84	44	0	12	34	25	83	28	69	0	3	30	74	30	83	44	66	83	26	83	64	25	30	84	19	15	26	28	62	33	25	59	11	76	26	17	50	0	47	22	0	78	62	24	30	44	82	62	52	52	62	61	27	47	30	0	49
hoz	83	72	0	0	14	0	3	2	44	72	2	20	72	3	73	3	0	0	0	62	100	73	73	79	14	73	3	74	71	79	0	0	0	0	72	10	56	0	31	0	58	0	72	79	63	72	0	72	98	41	0	72	3	0	0	0	100	0	0	95	41	61	11	3	85	0	82	23	0	78	97	42	1	79	68	60	71	66	100	62	2	82	0	0	41
